"code_pnt","pntname","State","lat_deg","lat_min","lat_sec","lng_deg","lng_min","lng_sec","series","DistSpec","DistCalcGCM_TDPF","DistCalcGCM_UK","DistCalcGCM_Intl","DistCalcGEOD","DistGen","notes","system","MyPoint","Club","DistCalcGCM_TDPFyds","DistCalcGCM_UKyds","DistCalcGCM_Intlyds","DistCalcGEODyds","DistType"
"MILLM","Millmerran","QLD",27,52,20,151,16,3,"South/West",,,15715643.5808402,,0,,"","False","","",,,,,""
"MIRIA","MIRIAMVALE","QLD",24,19,44,151,33,42,"North",,,376226.659980624,,0,,"","False","","",,,,,""
"MITCH","MITCHELL","QLD",26,29,17,147,58,27,"West",,,417420.012866133,,0,,"","False","","",,,,,""
"MONTO","MONTO","QLD",24,51,58,151,7,15,"North",,,325488.132939901,,0,,"","False","","",,,,,""
"MOONI","MOONIE","QLD",27,43,6,150,22,13,"West",,,157400.94761318,,0,,"","False","","",,,,,""
"MOREE","MOREE","NSW",26,53,36,152,17,23,"South/West",,,0,,0,,"","False","","",,,,,""
"MORVE","MORVEN","QLD",26,25,4,147,6,34,"West",,,501486.322146961,,0,,"","False","","",,,,,""
"MTMOR","MT MORGAN","QLD",23,39,6,150,23,18,"West",,,476367.346377117,,0,,"","False","","",,,,,""
"MTTYS","MT TYSON","QLD",27,34,35,151,34,16,"TOSS",,,41372.5328535733,,0,,"","False","","",,,,,""
"MUNDU","MUNDUBERRA","QLD",25,35,34,151,17,57,"North",,,242858.086273656,,0,,"","False","","",,,,,""
"NACCO","NACCOWLAH","QLD",27,27,0,142,2,0,"West",900000,,979013.188648276,,0,,"","False","","",,,,,""
"NANAN","NANANGO","QLD",26,40,22,152,0,22,"North",,,113573.128888812,,0,,"","False","","",,,,,""
"NOBBY","NOBBY","QLD",27,51,22,151,54,29,"TOSS",,,18992.406889103,,0,,"","False","","",,,,,""
"NOCCU","NOCCUNDRA","QLD",27,49,0,142,35,30,"West",,,922224.59286262,,0,,"","False","","",,,,,""
"NOCKA","NOCKATUNGA","QLD",27,43,22,142,42,38,"West",,,910838.352336333,,0,,"","False","","",,,,,""
"OAKEY","OAKEY","QLD",27,25,47,151,42,28,"TOSS",,,39113.2306292923,,0,,"","False","","",,,,,""
"PITTS","PITTSWORTH","QLD",27,42,51,151,38,20,"TOSS",,,32629.1286726323,,0,,"","False","","",,,,,""
"PROST","PROSTON","QLD",26,10,0,151,36,7,"North",,,173631.701114124,,0,,"","False","","",,,,,""
"QUILP","QUILPIE","QLD",26,36,54,144,16,13,"West",,,770641.710904774,,0,,"","False","","",,,,,""
"ROCKH","ROCKHAMPTON","QLD",23,22,46,150,30,44,"North",,,501296.766064529,,0,,"","False","","",,,,,""
"ROLLE","ROLLESTON","QLD",24,27,51,148,37,25,"North/West",,,490284.653581083,,0,,"","False","","",,,,,""
"ROMA","ROMA","QLD",26,34,31,148,47,5,"West",,,338657.160633854,,0,,"","False","","",,,,,""
"SEVEN","SEVENTEEN SEVENTY","QLD",24,9,40,151,52,54,"North",,,392758.835818206,,0,,"","False","","",,,,,""
"SOUTH","SOUTHBROOK","QLD",27,40,50,151,43,10,"TOSS",,,24677.0310197832,,0,,"","False","","",,,,,""
"STANT","STANTHORPE","QLD",28,39,5,151,56,26,"South",,,106423.088833023,,0,,"","False","","",,,,,""
"STGEO","ST GEORGE","QLD",28,1,44,148,35,22,"West",,,334197.181422438,,0,,"","False","","",,,,,""
"STLAW","ST LAWRENCE","QLD",22,20,50,149,32,4,"North",,,642817.214452022,,0,,"","False","","",,,,,""
"SURAT","SURAT","QLD",27,9,16,149,4,9,"West",,,1064341.01815484,,0,,"","False","","",,,,,""
"TAMBO","TAMBO","QLD",24,53,5,146,15,16,"North/West",,,649344.315279106,,0,,"","False","","",,,,,""
